DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2023-07-20 12:43:31,5,42,0,122.667,58.747,21,1159,24339,0,0.119,3.929,105.738
2023-07-20 12:43:33,11,83,0,231.904,175.714,41.5,1159,48098.5,0,1.771,9.313,184.024
2023-07-20 12:43:35,20,129,0,281.442,99.666,64.5,1159,74755.5,0,6.163,14.178,258.713
2023-07-20 12:43:38,26,114,0,394.149,156.166,57,1159,66063,0,0.096,4.237,378.886
2023-07-20 12:43:40,32,151,0,350.927,139.082,75.5,1159,87504.5,0,0.205,5.781,333.94
2023-07-20 12:43:42,38,153,0,460.967,147.18,76.5,1159,88663.5,0,0.17,4.66,442.333
2023-07-20 12:43:44,44,176,0,451.33,153.874,88,1159,101992,0,0.159,6.585,431.71
2023-07-20 12:43:46,50,149,0,581.953,196.909,74.5,1159,86345.5,0,0.094,5,560.074
2023-07-20 12:43:48,56,149,0,705.872,182.179,74.5,1159,86345.5,0,0.067,3.846,692.081
2023-07-20 12:43:50,63,160,0,723.562,210.734,80,1159,92720,0,0.619,5.394,703.125
2023-07-20 12:43:52,69,122,0,938.344,340.55,61,1159,70699,0,0.172,5.098,913.566
2023-07-20 12:43:54,75,169,0,873.296,352.696,84.5,1159,97935.5,0,1.438,6.497,849.024
2023-07-20 12:43:56,80,183,0,883.257,316.633,91.5,1159,106048.5,0,0.279,6.093,860.825
2023-07-20 12:43:58,87,232,0,811.427,306.708,116,1159,134444,0,4.72,9.733,785.841
2023-07-20 12:44:00,93,171,0,1133.55,490.952,85.5,1159,99094.5,0,0.035,2.982,1111.813
2023-07-20 12:44:02,98,185,0,956.222,325.926,92.5,1159,107207.5,0,0.022,3.07,940.6
2023-07-20 12:44:04,99,226,0,910.938,323.355,113,1159,130967,0,0.022,3.027,891.571
2023-07-20 12:44:06,99,211,0,945.062,309.085,105.5,1159,122274.5,0,0.052,2.91,917.047
2023-07-20 12:44:08,99,208,0,970.466,429.686,104,1159,120536,0,0.077,5.317,958.135
2023-07-20 12:44:10,99,199,0,1001.357,338.843,99.5,1159,115320.5,0,0.347,4.839,975.653
2023-07-20 12:44:12,99,191,0,1002.607,349.129,95.5,1159,110684.5,0,0.052,3.628,979.147
2023-07-20 12:44:14,99,174,0,1054.224,479,87,1159,100833,0,0.448,3.879,1042.339
2023-07-20 12:44:17,99,192,0,1012.177,475.134,96,1159,111264,0,1.578,6.469,992.901
2023-07-20 12:44:19,99,218,0,979.633,533.734,109,1159,126331,0,0.807,3.587,963.463
2023-07-20 12:44:21,99,183,0,1050.437,351.581,91.5,1159,106048.5,0,2.126,5.902,1027.361
2023-07-20 12:44:23,99,213,0,994.512,312.481,106.5,1159,123433.5,0,0.174,3.606,977.667
2023-07-20 12:44:25,99,215,0,960.67,388.702,107.5,1159,124592.5,0,0.07,3.298,939
2023-07-20 12:44:27,99,275,0,842.505,545.06,137.5,1159,159362.5,0,0.044,2.345,826.589
2023-07-20 12:44:29,99,245,0,846.078,487.251,122.5,1159,141977.5,0,0.061,2.282,830.412
2023-07-20 12:44:31,99,251,0,759.685,415.034,125.5,1159,145454.5,0,0.024,2.908,742.446
2023-07-20 12:44:33,99,261,0,801.648,326.98,130.5,1159,151249.5,0,0.084,2.402,791.295
2023-07-20 12:44:35,99,267,0,755.813,288.93,133.5,1159,154726.5,0,0.09,2.824,740.835
2023-07-20 12:44:37,99,243,0,809.893,429.111,121.5,1159,140818.5,0,0.041,2.786,796.16
2023-07-20 12:44:39,99,244,0,818.697,348.151,122,1159,141398,0,0.033,3.373,804.848
2023-07-20 12:44:41,99,237,0,687.278,293.839,118.5,1159,137341.5,0,2.046,5.789,670.557
2023-07-20 12:44:43,99,276,0,833.529,361.139,138,1159,159942,0,0.587,4.373,815.072
2023-07-20 12:44:45,99,253,0,754.984,427.587,126.5,1159,146613.5,0,0.549,3.652,740.091
2023-07-20 12:44:47,99,234,0,858.261,351.05,117,1159,135603,0,0.038,4.333,834.791
2023-07-20 12:44:49,99,158,0,949.861,319.75,79,1159,91561,0,0.038,3.899,914.918
2023-07-20 12:44:51,99,192,0,1241.99,613.69,96,1159,111264,0,0.031,2.729,1229.281
2023-07-20 12:44:53,99,177,0,1029.011,383.982,88.5,1159,102571.5,0,0.017,2.181,1013.006
2023-07-20 12:44:55,99,202,0,991.45,327.22,101,1159,117059,0,0.079,3.233,969.649
2023-07-20 12:44:57,99,252,0,828.433,298.865,126,1159,146034,0,0.056,3.258,811.897
2023-07-20 12:44:59,99,217,0,908.217,361.361,108.5,1159,125751.5,0,0.037,3.806,891.12
2023-07-20 12:45:01,99,258,0,771.225,310.972,129,1159,149511,0,0.163,4.233,758.961
2023-07-20 12:45:03,99,253,0,763.292,318.977,126.5,1159,146613.5,0,0.051,3.273,744.008
2023-07-20 12:45:05,99,243,0,814.556,337.501,121.5,1159,140818.5,0,0.078,2.914,798.247
2023-07-20 12:45:07,99,251,0,786.9,416.062,125.5,1159,145454.5,0,0.618,3.418,769.024
2023-07-20 12:45:09,99,203,0,846.084,344.306,101.5,1159,117638.5,0,0.099,3.108,824.966
2023-07-20 12:45:11,99,259,0,897.556,335.194,129.5,1159,150090.5,0,0.73,6.819,881.888
2023-07-20 12:45:13,99,241,0,800.087,339.252,120.5,1159,139659.5,0,0.017,3.046,779.896
2023-07-20 12:45:15,99,254,0,737.642,328.856,127,1159,147193,0,0.024,2.677,727.748
2023-07-20 12:45:17,99,260,0,809.527,301.669,130,1159,150670,0,0.027,3.515,793.319
2023-07-20 12:45:19,99,306,0,654.601,258.508,153,1159,177327,0,0.065,2.484,640.141
2023-07-20 12:45:21,99,258,0,700.802,329.331,129,1159,149511,0,0.047,1.837,689.38
2023-07-20 12:45:23,99,236,0,793.979,746.759,118,1159,136762,0,0.03,2.314,784.178
2023-07-20 12:45:25,99,251,0,849.737,620.069,125.5,1159,145454.5,0,0.032,2.737,834.753
2023-07-20 12:45:27,99,237,0,865.059,502.566,118.5,1159,137341.5,0,0.055,3.257,854.004
2023-07-20 12:45:29,99,258,0,732.353,337.23,129,1159,149511,0,0.027,2.872,718.95
2023-07-20 12:45:31,99,310,0,829.342,392.513,155,1159,179645,0,0.026,3.787,809.168
2023-07-20 12:45:34,99,282,0,656.447,329.898,141,1159,163419,0,0.972,3.323,644.355
2023-07-20 12:45:36,99,290,0,754.19,360.091,145,1159,168055,0,2.607,6.438,745.603
